t,n_obstacles,max_obs_speed,min_obstacle_dist
48.754,2,0.0,2.192
48.869,2,0.0,2.216
48.934,2,0.0,2.216
48.993,2,0.0,2.182
49.092,2,0.0,2.182
49.203,2,0.0,2.182
49.299,2,0.0,2.187
49.416,2,0.0,2.205
49.481,2,0.0,2.211
49.589,2,0.0,2.215
49.688,2,0.0,2.216
49.79,2,0.0,2.207
49.924,2,0.0,2.195
49.984,2,0.0,2.199
50.095,2,0.0,2.205
50.203,2,0.0,2.205
50.335,2,0.0,2.189
50.456,2,0.0,2.189
50.516,2,0.0,2.209
50.66,2,0.0,2.203
50.82,2,0.0,2.192
50.949,2,0.0,2.192
51.049,2,0.0,2.175
51.258,2,0.0,2.201
51.387,2,0.0,2.192
51.619,2,0.0,2.193
51.752,2,0.0,2.206
51.886,2,0.0,2.188
51.987,2,0.0,2.188
52.14,2,0.0,2.188
52.253,2,0.0,2.187
52.469,2,0.0,2.188
52.586,2,0.0,2.183
52.699,2,0.0,2.205
52.928,2,0.0,2.185
53.095,2,0.0,2.219
53.151,2,0.0,2.204
53.268,2,0.0,2.215
53.393,2,0.0,2.215
53.555,2,0.0,2.188
53.668,2,0.0,2.207
53.786,2,0.0,2.207
54.02,2,0.0,2.19
54.129,2,0.0,2.185
54.223,2,0.0,2.185
54.371,2,0.0,2.198
54.435,2,0.0,2.198
54.558,2,0.0,2.213
54.668,2,0.0,2.213
54.769,2,0.0,2.213
54.986,2,0.0,2.179
55.113,2,0.0,2.179
55.297,2,0.0,2.179
55.408,2,0.0,2.192
55.524,2,0.0,2.178
55.731,2,0.0,2.178
55.854,2,0.0,2.186
56.11,2,0.0,2.186
56.215,2,0.0,2.193
56.326,2,0.0,2.193
56.47,2,0.0,2.193
56.578,2,0.0,2.193
56.677,2,0.0,2.194
56.737,2,0.0,2.194
56.848,2,0.0,2.212
56.994,2,0.0,2.199
57.077,2,0.0,2.199
57.138,2,0.0,2.197
57.25,2,0.0,2.208
57.339,2,0.0,2.199
57.512,2,0.0,2.224
57.642,2,0.0,2.184
57.774,2,0.0,2.184
57.869,2,0.0,2.188
58.069,3,0.0,2.192
58.187,2,0.0,2.185
58.342,2,0.0,2.185
58.426,2,0.0,2.185
58.481,2,0.0,2.198
58.591,2,0.0,2.192
58.721,2,0.0,2.192
58.821,2,0.0,2.192
58.945,2,0.0,2.21
59.065,2,0.0,2.205
59.128,2,0.0,2.182
59.319,2,0.0,2.182
59.466,2,0.0,2.198
59.519,2,0.0,2.198
59.729,2,0.0,2.196
59.874,2,0.0,2.188
59.984,2,0.0,2.201
60.412,2,0.0,2.215
60.533,2,0.0,2.18
60.7,2,0.0,2.188
60.776,2,0.0,2.188
60.849,2,0.0,2.188
60.968,2,0.0,2.189
61.185,2,0.0,2.195
61.312,2,0.0,2.195
61.436,2,0.0,2.182
61.492,2,0.0,2.182
61.602,2,0.0,2.191
61.761,2,0.0,2.176
61.816,2,0.0,2.191
61.932,2,0.0,2.217
62.041,2,0.0,2.217
62.296,2,0.0,2.196
62.41,2,0.0,2.186
62.526,2,0.0,2.186
62.66,2,0.0,2.186
62.734,2,0.0,2.189
62.847,2,0.0,2.19
63.007,2,0.0,2.19
63.127,2,0.0,2.204
63.304,2,0.0,2.199
63.375,2,0.0,2.212
63.476,2,0.0,2.216
63.569,2,0.0,2.216
63.627,2,0.0,2.2
63.738,2,0.0,2.194
63.945,2,0.0,2.202
64.095,2,0.0,2.191
64.156,2,0.0,2.191
64.585,2,0.0,2.212
64.694,2,0.0,2.213
64.805,2,0.0,2.213
64.911,2,0.0,2.2
65.04,2,0.0,2.211
65.095,2,0.0,2.194
65.479,2,0.0,2.172
65.596,2,0.0,2.165
65.724,2,0.0,2.173
65.881,2,0.0,2.173
66.026,2,0.0,2.185
66.136,2,0.0,2.201
66.202,2,0.0,2.19
66.546,2,0.0,2.191
66.663,2,0.0,2.182
66.825,2,0.0,2.182
66.936,2,0.0,2.175
66.991,2,0.0,2.193
67.051,2,0.0,2.193
67.296,2,0.0,2.205
67.487,2,0.0,2.208
67.541,2,0.0,2.201
67.665,2,0.0,2.201
67.768,2,0.0,2.201
67.872,2,0.0,2.201
67.961,2,0.0,2.192
68.016,2,0.0,2.194
68.1,2,0.0,2.194
68.214,2,0.0,2.21
68.589,3,0.0,2.169
68.704,2,0.0,2.188
68.887,2,0.0,2.202
69.014,2,0.0,2.216
69.13,2,0.0,2.215
69.322,2,0.0,2.215
69.53,2,0.0,2.209
69.687,2,0.0,2.182
69.778,2,0.0,2.182
69.925,2,0.0,2.211
69.981,2,0.0,2.217
70.037,2,0.0,2.209
70.202,2,0.0,2.183
70.287,2,0.0,2.183
70.377,2,0.0,2.191
70.436,2,0.0,2.184
70.552,2,0.0,2.194
70.938,2,0.0,2.188
71.115,2,0.0,2.19
71.229,2,0.0,2.175
71.327,2,0.0,2.175
71.394,2,0.0,2.22
71.463,2,0.0,2.22
71.618,2,0.0,2.209
71.959,2,0.0,2.199
72.132,3,0.0,2.184
72.222,3,0.0,2.184
72.279,2,0.0,2.212
72.399,2,0.0,2.199
72.664,2,0.0,2.195
72.84,2,0.0,2.192
73.02,2,0.0,2.192
73.146,2,0.0,2.192
73.271,2,0.0,2.195
73.434,2,0.0,2.195
73.585,2,0.0,2.201
73.642,2,0.0,2.186
74.003,2,0.0,2.185
74.121,2,0.0,2.2
74.278,2,0.0,2.2
74.397,2,0.0,2.2
74.516,2,0.0,2.204
74.722,2,0.0,2.195
75.033,2,0.0,2.178
75.152,2,0.0,2.187
75.328,2,0.0,2.198
75.385,2,0.0,2.21
75.441,2,0.0,2.21
75.558,2,0.0,2.213
75.701,2,0.0,2.195
76.022,2,0.0,2.176
76.149,2,0.0,2.173
76.256,2,0.0,2.174
76.367,2,0.0,2.186
76.426,2,0.0,2.186
76.539,2,0.0,2.202
76.638,2,0.0,2.202
76.723,2,0.0,2.202
76.9,2,0.0,2.207
76.956,2,0.0,2.178
77.118,2,0.0,2.178
77.224,3,0.0,2.182
77.337,2,0.0,2.191
77.5,2,0.0,2.191
77.572,2,0.0,2.194
77.671,2,0.0,2.188
77.727,2,0.0,2.188
77.952,2,0.0,2.201
78.122,2,0.0,2.201
78.178,2,0.0,2.182
78.305,2,0.0,2.188
78.401,2,0.0,2.188
78.463,2,0.0,2.181
