t,n_obstacles,max_obs_speed,min_obstacle_dist
39.836,3,0.0747,0.71
39.913,3,0.0747,0.71
40.027,3,0.0,0.705
40.187,3,0.0,0.703
40.289,3,0.0,0.703
40.469,3,0.0,0.712
40.652,3,0.043,0.706
40.748,3,0.043,0.706
40.818,3,0.043,0.706
40.872,3,0.0,0.704
40.983,3,0.0,0.705
41.125,3,0.0,0.705
41.2,3,0.0,0.705
41.275,3,0.2112,0.744
41.492,3,0.2071,0.714
41.676,3,0.2346,0.741
41.732,3,0.2001,0.722
41.847,3,0.0702,0.71
41.909,3,0.0702,0.71
42.064,3,0.1492,0.71
42.16,3,0.0,0.705
42.223,3,0.0,0.704
42.343,3,0.0,0.702
42.702,3,0.0671,0.711
42.815,3,0.073,0.705
43.253,3,0.073,0.705
43.61,3,0.0722,0.706
43.73,3,0.047,0.703
43.886,3,0.047,0.703
43.966,3,0.075,0.716
44.026,4,0.0755,0.722
44.143,3,0.0126,0.705
44.214,3,0.0126,0.705
44.359,3,0.0126,0.705
44.514,3,0.0,0.706
44.623,3,0.0,0.705
44.744,3,0.0,0.705
44.841,3,0.0,0.705
44.971,3,0.0,0.707
45.028,3,0.0,0.704
45.127,3,0.0,0.704
45.326,3,0.0,0.703
45.444,3,0.0,0.703
45.795,3,0.0,0.709
45.907,3,0.0,0.71
46.082,3,0.0,0.705
46.202,3,0.0,0.705
46.325,3,0.0674,0.71
46.552,3,0.0809,0.706
46.86,3,0.0,0.708
46.976,3,0.0,0.707
47.177,3,0.0,0.709
47.332,3,0.0,0.709
47.388,3,0.0,0.705
47.563,3,0.0,0.704
47.784,3,0.0,0.705
47.897,3,0.0,0.707
48.009,3,0.0,0.707
48.087,3,0.0,0.707
48.223,3,0.0,0.711
48.341,3,0.0,0.706
48.405,3,0.0,0.707
48.517,3,0.0,0.707
48.6,3,0.0,0.707
48.746,3,0.072,0.706
48.802,3,0.0942,0.712
48.911,3,0.0942,0.712
49.039,3,0.0942,0.712
49.11,3,0.0942,0.712
49.224,3,0.0,0.708
49.366,3,0.0,0.704
49.429,3,0.0,0.704
49.509,3,0.0,0.704
49.634,3,0.0,0.706
49.689,3,0.0,0.706
