epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,10533.5,1.20598,1.31901,1.23625,0.47795,0.35466,0.35587,0.23796,1.30695,1.62587,1.29831,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,10693.2,1.2008,1.30912,1.2302,0.48306,0.35348,0.35654,0.23904,1.30582,1.62813,1.29703,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,10852.9,1.19992,1.30438,1.23033,0.4908,0.35167,0.3571,0.23964,1.30511,1.6237,1.29587,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,11012.1,1.19627,1.28848,1.2275,0.48454,0.35389,0.35677,0.2394,1.30396,1.62358,1.29472,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,11171.3,1.18743,1.27837,1.22184,0.48366,0.35301,0.35767,0.23979,1.30487,1.62545,1.29625,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,11330.1,1.18946,1.27509,1.22313,0.4825,0.35573,0.35786,0.23966,1.30593,1.62563,1.29786,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,11488.9,1.18635,1.27028,1.22235,0.4908,0.3513,0.35735,0.23956,1.30668,1.62609,1.29798,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,11648.5,1.18395,1.26585,1.22015,0.48747,0.35257,0.35843,0.23988,1.30632,1.62529,1.29739,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,11807.9,1.18426,1.25829,1.21911,0.48908,0.35492,0.35931,0.24039,1.30466,1.62366,1.29569,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,11967.3,1.17401,1.24723,1.21354,0.50184,0.35341,0.3596,0.24107,1.30417,1.62419,1.29561,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,12127.2,1.1756,1.24088,1.21311,0.5015,0.35325,0.35951,0.24088,1.30356,1.6239,1.29472,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,12287.1,1.17618,1.23505,1.21307,0.49762,0.35484,0.35957,0.2409,1.30315,1.6226,1.29467,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,12446.6,1.16939,1.23472,1.21035,0.48873,0.35757,0.36017,0.24159,1.30296,1.62475,1.2946,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,12606.3,1.17098,1.22775,1.21141,0.50757,0.35073,0.36063,0.24164,1.30194,1.6216,1.29371,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,12766.5,1.16529,1.21744,1.20314,0.49839,0.35573,0.36116,0.24207,1.30168,1.6209,1.29307,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,12926.7,1.16023,1.20482,1.20133,0.50436,0.35477,0.3613,0.24228,1.30118,1.6219,1.29298,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,13087.6,1.15985,1.19784,1.1988,0.50517,0.3526,0.36082,0.24238,1.30088,1.62245,1.29274,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,13247.3,1.15571,1.19269,1.19842,0.50122,0.35218,0.36003,0.24195,1.30045,1.62158,1.29212,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
